id,tipo
1,ARCILLA
2,ARCILLAS CERAMICAS
3,ARCILLAS FERRUGINOSAS
4,ARCILLAS MISCELANEAS
5,ARENAS
6,ARENA DE CANTERA
7,RECEBO
8,ARENA DE RIO
9,GRAVA DE CANTERA
10,GRAVAS
11,ORO
12,PLATA
13,CALIZAS
14,MARMOL
15,CARBON
16,PLATINO
17,DOLOMITA
18,ARENAS SILICEAS
19,GRAVAS DE RIO
20,SERPENTINA (SILICATO DE MAGNESIO)
21,CROMO - CROMITA
22,MINERAL DE MAGNESIO (MAGNESITA)
23,SERPENTINA EN RAJON
24,ASBESTO
25,ARCILLAS CAOLINITICA
26,FELDESPATOS
27,GRAVAs DE RIO
28,MARMOL EN RAJÓN (RETAL DE MÁRMOL)
29,ARCILLAS REFRACTARIAS
30,MARMOL (BLOQUE MAYOR O IGUAL A 1 M3)
31,YESO
32,ARCILLAS BENTONITICA
33,TALCO
34,DIABASA
35,ESMERALDAS
36,ESMERALDAS SEMIPRECIOSA
37,ESMERALDAS EN BRUTO
38,ESMERALDAS ENGASTADA
39,ESMERALDAS TALLADAS
40,SAL
41,ROCA CORALINA (BLOQUE MAYOR O IGUAL A 1 M3)
42,ROCA CORALINA (BLOQUE MENOR A 1 M3)
43,ROCA FOSFORICA
44,MARMOL (BLOQUE MENOR A 1 M3)
45,HIERRO
46,PUZOLANAS
47,GRANITO (BLOQUE MAYOR O IGUAL A 1 M3)
48,TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MAYOR O IGUAL A 1 M3
49,TRAVERTINO Y CALIZAS CRISTALINAS EN BLOQUE MENOR A 1 M3
50,CUARZO
51,ASFALTITA
52,SERPENTINA (BLOQUE MENOR A 1 M3)
53,SERPENTINA (BLOQUE MAYOR O IGUAL A 1 M3)
54,MANGANESO
55,VOLFRAMIO
56,COBRE
57,BASALTO
58,BAUXITA
59,AZUFRE
60,BARITA
61,TANTALIO
62,NIQUEL
63,PIEDRA ARENISCA-PIEDRA BOGOTANA
64,CARBONATO DE CALCIO
65,GRAFITO
66,MICA
67,FLUORITA
68,ARENAS NEGRAS
69,ESTANO
70,NIOBIO
